profile_id,user_id,bio,height_cm,photo_count,profile_completeness_pct
1,1,,150,5,80
2,2,,186,5,90
3,3,Alhamdulillah for everything. Seeking a kind-hearted partner.,168,6,90
4,4,Looking for a sincere life partner.,182,4,50
5,5,Looking for a sincere life partner.,170,3,90
6,6,,165,1,65
7,7,Alhamdulillah for everything. Seeking a kind-hearted partner.,177,4,100
8,8,"Love reading, travel and good food.",174,0,65
9,9,,163,2,80
10,10,Family-oriented and career-focused.,175,6,80
11,11,"Love reading, travel and good food.",151,2,100
12,12,Family-oriented and career-focused.,172,2,90
13,13,Family-oriented and career-focused.,186,1,65
14,14,Alhamdulillah for everything. Seeking a kind-hearted partner.,175,6,65
15,15,,179,3,65
16,16,Alhamdulillah for everything. Seeking a kind-hearted partner.,157,3,80
17,17,Family-oriented and career-focused.,179,4,90
18,18,"Love reading, travel and good food.",160,2,80
19,19,Family-oriented and career-focused.,167,4,80
20,20,"Love reading, travel and good food.",181,5,100
21,21,Looking for a sincere life partner.,187,2,80
22,22,"Love reading, travel and good food.",180,0,65
23,23,Simple person with strong values.,167,2,90
24,24,Family-oriented and career-focused.,169,6,90
25,25,"Love reading, travel and good food.",162,4,90
26,26,,187,4,35
27,27,"Love reading, travel and good food.",154,5,80
28,28,Simple person with strong values.,174,4,65
29,29,,180,6,100
30,30,Family-oriented and career-focused.,167,5,80
31,31,Simple person with strong values.,178,0,90
32,32,"Love reading, travel and good food.",166,5,90
33,33,Alhamdulillah for everything. Seeking a kind-hearted partner.,184,4,80
34,34,,154,3,90
35,35,Simple person with strong values.,188,6,90
36,36,Looking for a sincere life partner.,171,6,80
37,37,Alhamdulillah for everything. Seeking a kind-hearted partner.,174,0,65
38,38,Family-oriented and career-focused.,182,2,90
39,39,Alhamdulillah for everything. Seeking a kind-hearted partner.,165,1,90
40,40,,150,5,100
41,41,"Love reading, travel and good food.",172,1,35
42,42,"Love reading, travel and good food.",165,3,65
43,43,Family-oriented and career-focused.,180,2,100
44,44,Family-oriented and career-focused.,171,2,65
45,45,,172,2,80
46,46,Looking for a sincere life partner.,165,3,90
47,47,Simple person with strong values.,176,3,65
48,48,Alhamdulillah for everything. Seeking a kind-hearted partner.,156,3,65
49,49,,177,1,65
50,50,"Love reading, travel and good food.",162,0,100
51,51,Alhamdulillah for everything. Seeking a kind-hearted partner.,175,5,90
52,52,Family-oriented and career-focused.,165,4,35
53,53,"Love reading, travel and good food.",176,2,50
54,54,Looking for a sincere life partner.,155,1,80
55,55,Alhamdulillah for everything. Seeking a kind-hearted partner.,155,1,65
56,56,Looking for a sincere life partner.,165,4,80
57,57,Looking for a sincere life partner.,166,5,90
58,58,Simple person with strong values.,162,3,80
59,59,Looking for a sincere life partner.,188,0,80
60,60,,166,6,80
61,61,Simple person with strong values.,181,2,80
62,62,Simple person with strong values.,172,4,65
63,63,Family-oriented and career-focused.,162,5,80
64,64,Simple person with strong values.,151,1,50
65,65,"Love reading, travel and good food.",181,2,35
66,66,Family-oriented and career-focused.,157,6,65
67,67,,169,3,65
68,68,Looking for a sincere life partner.,187,1,100
69,69,Family-oriented and career-focused.,168,4,80
70,70,Family-oriented and career-focused.,150,4,65
71,71,Alhamdulillah for everything. Seeking a kind-hearted partner.,155,3,90
72,72,Family-oriented and career-focused.,168,4,50
73,73,Alhamdulillah for everything. Seeking a kind-hearted partner.,167,4,100
74,74,,162,0,80
75,75,,170,3,100
76,76,,152,4,90
77,77,"Love reading, travel and good food.",150,3,100
78,78,Alhamdulillah for everything. Seeking a kind-hearted partner.,167,2,90
79,79,"Love reading, travel and good food.",185,0,50
80,80,"Love reading, travel and good food.",172,4,80
81,81,,186,4,50
82,82,Family-oriented and career-focused.,177,5,80
83,83,,176,3,80
84,84,Looking for a sincere life partner.,153,0,80
85,85,Alhamdulillah for everything. Seeking a kind-hearted partner.,178,5,80
86,86,"Love reading, travel and good food.",179,1,90
87,87,"Love reading, travel and good food.",171,1,35
88,88,Family-oriented and career-focused.,157,3,100
89,89,Alhamdulillah for everything. Seeking a kind-hearted partner.,179,2,65
90,90,Family-oriented and career-focused.,184,1,90
91,91,Alhamdulillah for everything. Seeking a kind-hearted partner.,156,2,80
92,92,Family-oriented and career-focused.,153,2,80
93,93,,171,2,65
94,94,Alhamdulillah for everything. Seeking a kind-hearted partner.,179,2,90
95,95,,165,4,50
96,96,Alhamdulillah for everything. Seeking a kind-hearted partner.,159,2,50
97,97,Simple person with strong values.,164,4,100
98,98,Simple person with strong values.,181,1,80
99,99,Looking for a sincere life partner.,184,4,90
100,100,,161,4,50
101,101,Alhamdulillah for everything. Seeking a kind-hearted partner.,153,3,65
102,102,Simple person with strong values.,172,0,80
103,103,Alhamdulillah for everything. Seeking a kind-hearted partner.,174,6,80
104,104,"Love reading, travel and good food.",151,0,80
105,105,Family-oriented and career-focused.,156,6,100
106,106,Simple person with strong values.,157,4,50
107,107,Alhamdulillah for everything. Seeking a kind-hearted partner.,180,0,100
108,108,Simple person with strong values.,159,2,90
109,109,"Love reading, travel and good food.",171,1,65
110,110,Simple person with strong values.,176,3,65
111,111,,175,5,90
112,112,,181,3,80
113,113,Family-oriented and career-focused.,182,5,100
114,114,Family-oriented and career-focused.,186,3,65
115,115,Alhamdulillah for everything. Seeking a kind-hearted partner.,171,4,90
116,116,Alhamdulillah for everything. Seeking a kind-hearted partner.,172,3,80
117,117,Alhamdulillah for everything. Seeking a kind-hearted partner.,188,4,50
118,118,Looking for a sincere life partner.,171,1,80
119,119,,170,3,90
120,120,"Love reading, travel and good food.",172,0,100
121,121,,171,4,50
122,122,,168,0,90
123,123,,170,4,50
124,124,Alhamdulillah for everything. Seeking a kind-hearted partner.,187,1,65
125,125,Looking for a sincere life partner.,183,5,65
126,126,Looking for a sincere life partner.,175,5,80
127,127,"Love reading, travel and good food.",160,5,100
128,128,Looking for a sincere life partner.,152,0,65
129,129,Family-oriented and career-focused.,177,5,50
130,130,Family-oriented and career-focused.,154,2,65
131,131,Alhamdulillah for everything. Seeking a kind-hearted partner.,169,3,90
132,132,Looking for a sincere life partner.,177,2,90
133,133,Family-oriented and career-focused.,168,0,50
134,134,Alhamdulillah for everything. Seeking a kind-hearted partner.,161,1,80
135,135,Simple person with strong values.,167,6,65
136,136,"Love reading, travel and good food.",179,5,100
137,137,"Love reading, travel and good food.",170,1,65
138,138,"Love reading, travel and good food.",179,4,80
139,139,Family-oriented and career-focused.,162,2,35
140,140,"Love reading, travel and good food.",171,2,35
141,141,Alhamdulillah for everything. Seeking a kind-hearted partner.,180,6,50
142,142,Family-oriented and career-focused.,165,4,80
143,143,Simple person with strong values.,169,4,90
144,144,Looking for a sincere life partner.,174,2,100
145,145,,173,4,100
146,146,Looking for a sincere life partner.,186,0,100
147,147,Family-oriented and career-focused.,168,4,80
148,148,Simple person with strong values.,169,5,65
149,149,"Love reading, travel and good food.",174,3,80
150,150,"Love reading, travel and good food.",177,2,90
151,151,"Love reading, travel and good food.",168,2,80
152,152,Alhamdulillah for everything. Seeking a kind-hearted partner.,151,4,90
153,153,Alhamdulillah for everything. Seeking a kind-hearted partner.,166,5,65
154,154,Looking for a sincere life partner.,168,2,80
155,155,"Love reading, travel and good food.",160,1,90
156,156,,177,1,65
157,157,,152,2,80
158,158,Simple person with strong values.,182,6,100
159,159,,172,1,35
160,160,Family-oriented and career-focused.,176,5,65
161,161,"Love reading, travel and good food.",171,1,65
162,162,,173,0,35
163,163,Looking for a sincere life partner.,152,4,90
164,164,Looking for a sincere life partner.,169,1,90
165,165,,165,3,90
166,166,Looking for a sincere life partner.,178,2,65
167,167,Looking for a sincere life partner.,172,3,50
168,168,Simple person with strong values.,179,2,90
169,169,"Love reading, travel and good food.",167,4,65
170,170,Looking for a sincere life partner.,183,5,50
171,171,,171,0,90
172,172,"Love reading, travel and good food.",170,5,90
173,173,Alhamdulillah for everything. Seeking a kind-hearted partner.,169,5,80
174,174,,153,1,80
175,175,Looking for a sincere life partner.,170,5,90
176,176,Family-oriented and career-focused.,165,2,100
177,177,"Love reading, travel and good food.",167,2,35
178,178,Simple person with strong values.,172,0,90
179,179,Alhamdulillah for everything. Seeking a kind-hearted partner.,165,5,90
180,180,"Love reading, travel and good food.",172,6,65
181,181,,171,3,65
182,182,"Love reading, travel and good food.",173,3,50
183,183,"Love reading, travel and good food.",167,0,65
184,184,Simple person with strong values.,150,5,65
185,185,Family-oriented and career-focused.,178,3,35
186,186,,175,2,35
187,187,,173,3,80
188,188,Looking for a sincere life partner.,168,5,50
189,189,,169,3,50
